,source,author,title,description,url,urlToImage,publishedAt,content
85,"{'id': 'the-hill', 'name': 'The Hill'}",Reid Wilson,Study finds fewer than 1 in 10 Americans have had COVID-19 | TheHill,"Fewer than one in 10 Americans shows evidence of having contracted the coronavirus, a new st...",http://thehill.com/policy/healthcare/518420-study-finds-fewer-than-1-in-10-americans-have-had-covid-19,https://thehill.com/sites/default/files/coronavirus_03052020getty.jpg,2020-09-26T15:32:29Z,"Fewer than one in 10 Americans shows evidence of having contracted the coronavirus, a new study of tens of thousands of blood samples has found, underscoring the broad ability the virus still has to … [+2924 chars]"
86,"{'id': 'breitbart-news', 'name': 'Breitbart News'}",Jeff Poor,Shelby Steele: 'Biden Is Committing the Great American Sin -- Using Race as a Means to Power',Author and Hoover Institution senior fellow Shelby Steele says former Vice President Joe Biden's pledge to put a Black female on the high court broke his heart because it cheapens the work of those involved in the civil rights struggle to use race in a politi…,http://www.breitbart.com/clips/2020/09/26/shelby-steele-biden-is-committing-the-great-american-sin-using-race-as-a-means-to-power/,https://media.breitbart.com/media/2020/06/Steele612-640x335.jpg,2020-09-26T15:31:06Z,"With the vacancy on the Supreme Court a part of presidential politics in the late stages of the 2020 election cycle, former Vice President Joe Biden’s pledge to put a Black female on the high court b… [+2285 chars]"
87,"{'id': 'talksport', 'name': 'TalkSport'}",Sean O'Brien,Thiago Silva makes Premier League debut as Chelsea CAPTAIN and Frank Lampard makes Kepa Arrizbalaga decision,,https://talksport.com/football/765367/thiago-silva-premier-league-chelsea-captain-frank-lampard-kepa-west-brom-team-news/,https://talksport.com/wp-content/uploads/sites/5/2020/09/NINTCHDBPICT000610212912-e1600894645299.jpg?strip=all&quality=100&w=1200&h=800&crop=1,2020-09-26T15:30:51Z,"New signing Thiago Silva will make his Premier League debut for Chelsea as captain at West Brom on Saturday evening – live on talkSPORT.
After reaching full fitness and impressing briefly during the… [+1407 chars]"
88,"{'id': 'the-hindu', 'name': 'The Hindu'}",Jacob Koshy,Coronavirus | COVID-19 vaccine likely to be free for the poor,"Will the government of India have ₹80,000 crore over the next one year to buy and distribute the vaccine, asks Serum Institute of India CEO Adar Poonawalla.",https://www.thehindu.com/news/national/coronavirus-covid-19-vaccine-likely-to-be-free-for-the-poor/article32704090.ece,https://www.thehindu.com/news/national/hmjmdi/article32704089.ece/ALTERNATES/LANDSCAPE_615/HEALTH-CORONAVIRUSVALNEVA-VACCINE,2020-09-26T15:29:27Z,"Those unable to afford a probable COVID-19 vaccine will get it for free and the government is considering a large immunisation programme to make the vaccine widely available, a highly placed official… [+3149 chars]"
89,"{'id': 'espn', 'name': 'ESPN'}",,LSU Tigers star CB Derek Stingley Jr. (illness) hospitalized overnight,"LSU star cornerback Derek Stingley Jr. was hospitalized overnight on Friday and is expected to be discharged soon, the school said in a statement hours before it's season-opening game against Mississippi State on Saturday.",http://espn.go.com/college-football/story/_/id/29976468/lsu-tigers-star-cb-derek-stingley-jr-illness-hospitalized-overnight,https://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2020%2F0104%2Fr648555_1296x729_16%2D9.jpg,2020-09-26T15:28:00Z,"LSU star cornerback Derek Stingley Jr. was hospitalized overnight on Friday and is expected to be discharged soon, the school said in a statement hours before it's season-opening game against Mississ… [+527 chars]"
90,"{'id': 'hacker-news', 'name': 'Hacker News'}",Kevin Gosztola,Prosecutors' Password-Cracking Conspiracy Theory Against Assange Unravels At Extradition Trial,"""At the time, it would not have been possible to crack an encrypted password hash, such as the one Manning obtained,"" testified Patrick Eller, a digital forensic expert.",https://dissenter.substack.com/p/prosecutors-password-cracking-conspiracy,"https://cdn.substack.com/image/fetch/h_600,c_limit,f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fbucketeer-e05bbc84-baa3-437e-9518-adb32be77984.s3.amazonaws.com%2Fpublic%2Fimages%2F4386241f-2f88-4765-a036-ab80f02e7dc4_1186x560.png",2020-09-26T15:27:07Z,"Image from the Department of Justice
When the first indictment against WikiLeaks founder Julian Assange was disclosed by the United States Justice Department, the response from some attorneys and ad… [+9777 chars]"
91,"{'id': 'buzzfeed', 'name': 'Buzzfeed'}","[{""@type"":""Person"",""name"":""Stephen LaConte"",""url"":""https://www.buzzfeed.com/stephenlaconte"",""jobTitle"":""BuzzFeed Staff""}]",I Had An Affair Three Years Ago And Got Divorced — Do I Need To Tell My New Boyfriend About It?,"""I want to be honest, but I don't want him to think differently about me.""",https://www.buzzfeed.com/stephenlaconte/woman-named-karen-wants-to-change-name-memes-advice-1,"https://img.buzzfeed.com/buzzfeed-static/static/2020-09/24/19/enhanced/c514e5765bc3/original-24498-1600976662-25.jpg?crop=1250:654;0,0%26downsize=1250:*",2020-09-26T15:22:35.83284Z,"BuzzFeed
The rules: All DMs sent to me are for publication on BuzzFeed. Because of the high volume of DMs I receive, I'm not able to respond to individual messages or provide any advice one-on-one. … [+128 chars]"
92,"{'id': 'bbc-sport', 'name': 'BBC Sport'}",BBC Sport,Van der Breggen wins women's road race,Dutchwoman Anna van der Breggen becomes a double world champion by winning the women's road race at the Road World Championships.,http://www.bbc.co.uk/sport/cycling/54310043,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/13590/production/_97584297_breaking_news.png,2020-09-26T15:22:35.5204194Z,"<table><tr><th>2020 UCI Road World Championships</th></tr>
<tr><td>Venue: Imola, Italy Dates: 24-27 September</td></tr><tr><td>Coverage: Live on BBC Two, BBC Red Button, BBC iPlayer, BBC Sport websi… [+537 chars]"
93,"{'id': 'bbc-sport', 'name': 'BBC Sport'}",BBC Sport,England seal series win over West Indies,England cruise to a 20-run win over West Indies to take an unassailable 3-0 lead in the five-match Twenty20 series in Derby.,http://www.bbc.co.uk/sport/cricket/54309463,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/29C4/production/_114629601_scivertwo_getty.jpg,2020-09-26T15:22:26.6140537Z,"<table>
<tr><td>Third Twenty20, Incora County Ground, Derby</td></tr><tr><td>England 154-6 (20 overs): Sciver 82, Connell 2-13</td></tr><tr><td>West Indies 134-5 (20 overs): Dottin 63, Glenn 2-18, B… [+3437 chars]"
94,"{'id': 'hacker-news', 'name': 'Hacker News'}",,LEd – 2D level editor,"LEd LEd is an open-source 2D level editor, with a strong focus on user-friendliness. Why another editor? LEd is based on my personal experience creating Dead Cells and making game jams. My goal is to provide an editor that have all the important core features…",https://deepnight.net/tools/led-2d-level-editor/,,2020-09-26T15:22:17.5225684Z,"Why another editor?
LEd is based on my personal experience creating Dead Cells and making game jams. 
My goal is to provide an editor that have all the important core features and to do them right,… [+2072 chars]"
95,"{'id': 'fox-news', 'name': 'Fox News'}",Fox News,Biden pledges to spend $400B on USA products,Fox News' Hillary Vaughn reports on the former vice president's economic plan.,https://video.foxnews.com/v/6194817927001/,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/b1ac47d7-ab49-42b7-8dae-bd8b67af2199/bff4b275-6ca6-458b-b187-0a4f86f56d62/1280x720/match/image.jpg,2020-09-26T15:22:16.679025Z,
96,"{'id': 'google-news-in', 'name': 'Google News (India)'}",PTI,"Devendra Fadnavis, Sanjay Raut meet at luxury hotel; not political, says BJP","India News: MUMBAI: Former Maharashtra chief minister Devendra Fadnavis and Shiv Sena MP Sanjay Raut met here on Saturday, prompting speculation in political circ.",https://timesofindia.indiatimes.com/india/devendra-fadnavis-sanjay-raut-meet-at-luxury-hotel-not-political-says-bjp/articleshow/78337724.cms,"https://static.toiimg.com/thumb/msid-78337789,width-1070,height-580,imgsize-1024392,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2020-09-26T15:22:00+00:00,"India News: MUMBAI: Former Maharashtra chief minister Devendra Fadnavis and Shiv Sena MP Sanjay Raut met here on Saturday, prompting speculation in political circ."
97,"{'id': 'google-news-in', 'name': 'Google News (India)'}",Express Web Desk,‘Where is United Nations in Covid-19 fight’: PM Modi at UNGA address,"PM Modi also questioned for how long will India be kept out of the decision-making structures of the United Nations, asserting that reform in the responses, processes and in the very character of the global body is the ""need of the hour.""",https://indianexpress.com/article/india/prime-minister-narendra-modi-unga-address-6617145/,https://images.indianexpress.com/2020/09/PTI26-09-2020_000137B-1.jpg,2020-09-26T15:21:18+00:00,"Prime Minister Narendra Modi virtually addressed the United Nations General Assembly (DD/PTI Photo)Addressing the 193-member United Nations General Assembly (UNGA), Prime Minister Narendra Modi Satur… [+6896 chars]"
98,"{'id': 'the-irish-times', 'name': 'The Irish Times'}",Sarah Burns,Coronavirus: Five deaths and 248 more cases reported,"104 cases reported in Dublin, 37 in Donegal as public told to hold firm through winter",https://www.irishtimes.com/							/news/health/coronavirus-five-deaths-and-248-more-cases-reported-1.4365607	,https://www.irishtimes.com/image-creator/?id=1.4365606&origw=1440,2020-09-26T15:20:41Z,"Five people have died from Covid-19 and 248 more cases have been confirmed in the State by the National Public Health Emergency Team (NPHET) on Saturday.
Dublin has the highest number of cases at 10… [+3263 chars]"
99,"{'id': 'the-huffington-post', 'name': 'The Huffington Post'}",AP,Portland Bracing For Large Right-Wing Rally In Support Of Trump,Local and state elected officials condemn Saturday's event sponsored by far-right group the Proud Boys as extra law enforcement will be on hand.,https://www.huffpost.com/entry/portland-bracing-for-large-right-wing-rally-in-support-of-trump_n_5f6f4eadc5b64deddeee717e,https://img.huffingtonpost.com/asset/5f6f5b6e240000ee1e922f14.jpeg?ops=1778_1000,2020-09-26T15:18:08Z,"PORTLAND, Ore. (AP) At least several thousand people are expected in Portland, Oregon, on Saturday for a right-wing rally in support of President Donald Trump and his law and order reelection campaig… [+6279 chars]"
